index,caption,rank,caption_length
502,Orbital magnetic resonance: a frontal plain image showing left orbit foreign body.,2,12
503,"Celiac angiography revealed a hypervascular tumor with proliferation of fine tumor vessels (which also showed nodular and mosaic features) at the S4/8 region of the liver, just below the dome of right diaphragm.",2,33
504,Pelvic MRI two months after completion of antibiotic therapy reveals no inflammatory change.,4,13
505,Lesions in the right posterior temporal–parietal region.,32,7
506,Chest computed tomography scan demonstrated one large cystic mass in the left lung (arrow) and two in the right lung (white arrow).,19,22
507,Post-operative radiograph showing reduction of periapical radiolucency after 1 year following,3,11
508,Enhanced T1-weighted magnetic resonance image showing focal meningeal enhancement (arrow) in the right parietal lobe.,1,15
509,A bifid median nerve (arrow) in the carpal tunnel,8,9
510,Non-clearing vitreous hemorrhage but attached retina three months after vitrectomy.,2,10
511,"Computed tomography showing subcutaneous enphysema and extensive pneumomediastinum with mild septation, unchanged lung parenchyma (sagittal cut)",23,16
512,Sonogram of the popliteal vein shows a large occlusive thrombus (circled) observed in a noncompressible left popliteal vein.,6,18
513,Computed tomography scan showing bilateral perirenal hematoma.,50,7
514,Axial slices of a NCCT showing an abnormally collapsed bladder with a thickened wall,5,14
515,"Computed tomography (CT) scan showed the tumor involved the subcutaneous to muscular layers, and had uniform density and a clear tunica.",175,21
516,Initial X-ray of the right pelvis showing only a slight joint space narrowing with affection of the acetabulum and the femoral head.,7,22
517,Chest x-ray,15,2
518,"Infrapatellar bursitis. A 28-year-old male with anterior knee pain. Sagittal fat-saturated T2W image shows triangular pocket of fluid (arrow) between distal patellar tendon and anterior tibia. There is also bone contusion in lateral femoral condyle and fluid in suprapatellar recess (arrowheads), resulting from transient lateral patellar dislocation",2,47
519,Trans-Axial T2-Weighted MR Image Shows Heterogeneously Hyperintense Lobulated Mass Lesion in the Head and Uncinate Process of the Pancreas (White Arrow).,10,21
520,Chest X-ray shows a ruptured hydatid cyst masked by surrounding pneumonitis and an air-fluid level mimicking lung abscess.,23,18
521,Retethering,562,1
522,Pervasion of Asthapana Basti with enema pot method,4,8
523,MRI revealed no epiphyseal invasion.,1,5
524,Abdominal distention and irregular contraction,92,5
525,"X-ray (RAO 0°): prior to tricuspid valve repair using the MitraClip system – steerable guide and clip delivery system placed in right ventricle, clip arms open. TEE probe in transgastric position. Acurate TA Aortic Bioprosthesis implanted",6,36
526,CT scan of the head showed extensive low attenuation with mild mass effect predominantly affecting white matter bilaterally,7,18
527,Plain erect X-ray images of the abdomen show multiple air-fluid levels in the intestine (arrow head).,15,16
528,Patient 5. Atypical peri-implant fracture at the proximal end of a plate used to fix a midshaft fracture of the femur.,2,21
529,Control DSA showed persistent aneurysmal sack filling after implantation of self-expandable covered stent due to incomplete aneurysmal neck covering.,25,19
530,Postoperative radiograph.,139,2
531,"Coronal MR image of a 51-year-old male patient who has presented due to an incidentally diagnosed left renal mass. Tumor was measuring 2 cm in its greatest dimension and R.E.N.A.L. score was 8. He was managed by off-clamp RANSS. Eventual histopathologic diagnosis was Fuhrman grade 3, pT1a, and papillary RCC.",22,50
532,"Alternatively, in cases of difficulty, the surgeons grab and elevate the abdomen with 2 Kocher forceps to prevent it from sliding and slipping away from the skin at the trocar entry site.",35,32
533,CT PNS showing the perforation of right side of hard palate,3,11
534,"EUS elastography of normal pancreas EUS. Elastographic imaging of normal pancreas is characterized by uniform, homogenous green color distribution (representing intermediate stiffness).",5,22
535,Transthoracic echocardiogram in the off-axis parasternal view revealed a larger cystic mass,14,12
536,"Due to persistent fluid discharge postoperatively, further abdominal CT revealed fluid collection within the abdominal cavity. A percutaneous drainage was inserted and massive pus-like fluid was drained.",14,27
537,Reformatted CT scan of intramural haematoma of jejunum. This image reformatted in the coronal plane shows the full extent of the abnormal bowel (arrows). A relatively long segment of abnormal bowel (around 20 cm) is typical. There is free fluid around the spleen in the left upper quadrant.,20,48
538,Isolated Skeletal metastasis at the medial end of left clavicle in a treated distal radius GCT seen 4 years after the surgery,292,22
539,CT image obtained 7 months prior to current admission shows progression of bronchiectasis with cystic bronchiectasis in the right lower lobe (arrowhead).,5,22
540,"27-year-old young woman with mucinous cystadenocarcinoma.The tumor shows oval shape, predominantly cystic nature, heterogeneous moderate to marked enhancement (white arrow) and intratumoral papillary projection (white arrow). Ascites is also detected (white arrow).",10,32
541,Round ligament fibroma (leiomyoma).,162,4
542,Computed tomography obtained on admission day showed hepatic portal venous gas (thick arrow) and air within the gastric wall (thin arrow),14,21
543,Parasternal short axis view showing left atrial appendage extension,2,9
544,A 22-gauge spinal needle was advanced below the L2 vertebral pedicle under the fluoroscopic guide.,3,15
545,MRI of the spine. Axial T1-weighted post-contrast injection image: the mass occupies the entire cross-section of the spinal canal,1,19
546,What appeared to be the gallbladder proved to be the common bile duct after contrast injection.,13,16
547,Ultrasonography image demonstrated a whorl of concentric vessels in the region of splenic hilum. Note a spleen of ectopic position,19,20
548,Patient - 1 Radiograph showing mercury deposit,27,7
549,"Sutura frontomaxillaris (arrow), angulated coronal multiplanar reconstruction.",3,7
550,Selective angiography with digital subtraction of LSA after successful stenting. Observe normal opacification of LMA.,13,15
551,Abdominal computed tomography showed thickened gall bladder (GB) wall and distension of GB with GB stone.,5,16
552,Transthoracic echocardiography at parasternal short axis view shows the one lateral commissural attachment to the aorta posteriorly in diastole,10,19
553,Transabdominal sonograms showing a well-circumscribed giant meconium cyst. Note the multiple brightly echogenic internal echoes and layering (image to the left). The deuodenum (short arrows) and liver (block arrow) are normal. The compressed urinary bladder is indicated by curved arrow.,14,40
554,Air fluid levels on the erect abdominal radiograph suggestive of intestinal obstruction,35,12
555,"Arthroscopic image of an elbow showing the posterolateral recess of the joint, thus enabling access to the head of the radius",2,21
556,"74-year-old man with Meckel's diverticulitis. CT axial images with oral and intravenous contrast. A fluid filled diverticulum associated with the neighboring bowel can be seen at the midline (arrow). (axial CT movie stack, QuickTime, 540 KB)",10,36
557,Initial chest X-ray showing the huge mass in the anterior mediastinum (asterisk).,11,12
558,"6 Month post-operative view of the patient showing continued overgrowth at the L condyle, with a left sided open bite. The image shows that this change has not been as a result of failure of fixation.",221,36
559,Chest X-ray on POD 7 shows massive atelectasis in the left lower lobe.,20,13
560,Gray-scale USG shows hepatomegaly with diffusely increased echogenicity and a well-defined predominantly hypoechoic mass (arrows) in segment VI of the right lobe of the liver,3,25
561,Abdominal radiograph of a 33-year-old female with thoracic SCI from a motor vehicle collision 15 years prior shows superior subluxation of the left femoral head (black arrow) due to spasticity. The right femur (white arrow) is normally aligned,35,38
562,Postoperative radiograph shows intrapelvic migration of K-wire with remaining broken part of K-wire.,191,13
563,Postoperative CT abdomen demonstrating PTFE bolster on left kidney.,8,9
564,Axial USG image shows a linear echogenic focus (arrow) with a reverberation artifact (arrowhead) at the gall bladder fundus,1,19
565,A computed tomography scan shows the fractured pedicles of L3,13,10
566,Radiological appearance of the feet.,3,5
567,Abdominal magnetic resonance image showing the right adrenal mass.,2,9
568,CT of the upper abdomen focal lesions in the spleen. Note associated para aortic nodes (arrows).,21,16
569,"Fetal ultrasound at 29 weeks and 2 days, after episode of diabetic ketoacidosis at 25 weeks, demonstrating significant lateral ventricular dilatation. White matter loss and extra-axial fluid are not well visualized.",1,31
570,Working length determination radiograph,3,4
571,Dissecting celiac artery aneurysm. DSA image shows celiac aneurysm with compromised true lumen (small arrow). Left gastric artery (large arrow) is originating proximal to the dissecting aneurysm,21,27
572,Right diaphragmatic hernia. A 77-year-old male patient with history of a road side accident 3 years ago presented with breathlessness. Contrast-enhanced axial CT image shows herniation of the liver (White arrow) and the colon (Black Arrow) through a right-side diaphragmatic rupture,6,41
573,"Axial T1WI Magnetic resonance imaging (MRI) showing hypo intense, multicystic lesion about 9 × 8 × 7 cm in size, with multiple daughter cysts with multiple daughter cysts in relation to the right seminal vesicle",1,35
574,"Anteroposterior view of right shoulder 10 weeks after the primary injury, revealing malalignment of fracture ends and attempts at formation of primary callus (arrow).",7,24
575,Axial reconstruction of a portal-phase angio-CT showing portal aneurysm located in the portal bifurcation,41,14
576,Showing increased tracer uptake with Tc99m after 20 minutes after IV contrast in patient #2,5,15
577,"The impacted third left, mandibular molar was thought to be the cause of infection.",15,14
578,Intraoral periapical radiograph showing obturation in 12 with intact lamina dura,6,11
579,Six months follow-up radiograph,5,4
580,Case 1: OPG showing type 1 transmigration of the canine,12,10
581,"CT revealing a mass (arrow) occupying almost the entire nasopharyngeal space. CT, computed tomography.",16,14
582,Pelvic X-Ray,10,2
583,Computed tomogram of the neck showing a disruption of tracheobroncheal wall.,18,11
584,"Panoramic radiograph (Case 3) showing congenitally missing tooth 41, presence of mandibular mesiodens and taurodontism in first permanent molars at 9.2 years",3,22
585,A posteroanterior x-ray taken 6 months after posterior fixation of L5-T6.,2,11
586,Shows both liver and splenic injuries indicated by arrows.,3,9
587,"Coronal multiplanar reformatted contrast-enhanced CT image showing a mass in the gallbladder, with intrahepatic biliary radicle dilatation (white arrow) and colonic infiltration (black arrow) causing intestinal obstruction.",9,27
588,"A representative case of TFB (arrow) detected by chest CT scan.Abbreviations: TFB, tracheobronchial foreign body; CT, computed tomography.",26,18
589,"Radiograph of lumbo-sacral vertebrae and pelvis shows bamboo like bony bridge, narrowed intervertebral space, fusion of both sacroiliac joints and extreme deformity of both hip joints",48,26
590,This is a panoramic ultrasound image of a similar effusion and demonstrates the image acquired with the transducer in the midline sagittal plane. 1 Subcutaneous fat; 2 Quadriceps; 3 Effusion; 4 Prefemoral fat pad; 5 Femur; 6 Patella; 7 Acoustic shadow.,6,41
591,Diagnosis through ultrasonography on routine check-up. Colorscore 1 and Whipped cream characteristic.,20,12
592,"Posteroanterior radiograph of the giant pulmonary hydatid cyst, which pushed the heart to the right side, with an appearance similar to pleural effusion.",2,23
593,Chest radiography showed a well-defined nodular opacity in right upper hemithorax (arrow) and consolidation at right lower lobe (asterisk).,5,19
594,Lateral cephalogram showing type 4 (straight line) pattern of soft palate.,1,11
595,CT (coronal view).,29,3
596,Arrow indicating appendiceal stump with inflammatory changes.,1,7
597,"Phthisis bulbi in a 63-year-old man with a history of left ocular trauma during infancy. Axial US image shows a small, crenated, shrunken-looking ocular globe with calcified walls (arrows). Cataracts and partial lens dislocation (asterisk) are also seen",45,38
598,A transesophageal echocardiogram demonstrating a multifenestrated atrial septal defect with four openings (arrows),12,13
599,MRI reveals left temporomandibular joint surrounded by thickened soft tissue,30,10
600,Control urethrocystography (2 weeks later). Examination performed with the patient supine. Contrast which is given through Pezzer catheter fills bladder without outflow. Urethra also has not been revealed on these scans.,1,31
601,There was no fusion between the coronoid processes and zygomatic arches on the coronal slices with an open mouth,61,19
602,Right coronary angiogram showing a superdominant right coronary artery with double posterior descending arteries,7,14
603,Intraoral periapical radiograph working length,3,5
604,Contrast enhanced computed tomography-left suprarenal mass showing rim-like enhancing capsule,59,10
605,Endoscopic ultrasound showing a 7.1 x 6.7 cm anechoic cystic lesion with an irregularly thick wall and multiple mural nodules in the pancreatic body. No pancreatic duct dilatation or obvious communication with the main pancreatic duct was noted.,1,38
606,Brain MRI of the patient showing a low T1 signal intensity lesion (day 14).,71,14
607,DSA.,149,1
608,T2-weighted magnetic resonance image of the left thigh shows pyomyositis. T2-weighted magnetic resonance image of the left thigh taken in the sagittal plane reveals a multi-loculated mass in the medial aspect that demonstrates high signal intensity.,50,36
609,This radiograph reveals the patient's destructive lesion in the right distal clavicle.,16,12
610,Lumina of air bubble going down thorax in previous patient as in . This series of CT scans shows landmarks for distance down esophagus.,66,24
611,"High grade thymic carcinoma with mediastinal lymph node enlargement (black arrow) and pleural involvement, including pleural mass (white arrow head) and loculated pleural effusion (white arrow).",1,26
612,"The presence of the huge vegetation on the Contegra bovine leaflet, with dimensions 0.56 × 0.75 cm, in short-axis parasternal view of transthoracic echocardiography.",4,24
613,Transverse section through fetal sacral region shows parasitic left lower limb at 28th week of gestation.,11,16
614,Follow-up x-ray at 12-months.,15,4
615,X-ray of the Right hand with medial rotation.,6,8
616,Chest X-ray PA view showing right-sided encysted pleural effusion,2,9
617,Liquefaction necrosis.,358,2
618,"Coronal T2-weighted (TR-600 ms; TE-83 ms) MR image shows cyst contents of intermediate signal intensity (arrow). The lesion is located between the pancreatic tail (P), the left kidney (K), and the left adrenal gland (dashed arrow).",7,36
619,Stent implanted in the distal segment of SFA.,5,8
620,Severe mitral regurgitation.,11,3
621,Coronal STIR MRI image showing high signal change in the right thigh associated with intramuscular oedema.,1,16
622,"HRCT showing no interval change, when compared to CT angiogram, of multiple right upper lobe pulmonary parenchymal nodules, right pleural effusion, and diffuse fibrotic changes. The most prominent nodule measures 1.8 × 1.7 cm.",35,34
623,"Bilateral adrenals nodules, considered metastases.",15,5
624,Radiograph showing metal bezoar.,116,4
625,"CT scan of the abdomen and pelvis obtained after completion of RTThere has been a drastic decrease in the mass and hypodensities in the pancreatic head (red arrow). The distal pancreatic duct is decompressed (blue arrow). There are multiple, scattered shotty peripancreatic lymph nodes and a stable, peripheral hepatic hemangioma (yellow asterisk). The portal and hepatic vessels appear patent.",5,59
626,US images showing ruptured hydatid cysts of the liver.,3,9
627,"Sharp edge from the osteotomy for harvesting the graft, one red line marking the osteotomy of the posterior femoral condyle, the crossing line marking the Blumensaat's line: Patient 17, 2 months postoperatively. ""R"" marks that this is a right knee.",7,40
628,"The two mechanical axes meet at the correction point, which is 62.5 % across the width of tibial plateau. The dashed line shows the weight-bearing axis falling through the middle of the medial compartment. The dashed line is the patient’s current weight-bearing axis",8,43
629,"Standard dose computed tomography (120 kV, 250 mAsec).",54,8
630,58-year-old woman with suspected pulmonary embolism. Pulmonary angiogram at the completion of contrast injection demonstrates an a large area of contrast extravasation (encircled) in the region of the right pulmonary artery with extension into the middle mediastinum.,241,37
631,X-ray of a Snapping Turtle (Chelydra serpentina) captured in Tennessee containing a fish hook.Image has been enhanced to improve hook visibility.,28,21
632,Venous dissection of the left brachiocephalic vein due to short length left internal jugular vein tunneled cuffed catheter,30,18
633,Tomographic measurement of the version angle in the cranial or supraequatorial portion of the acetabulum.,5,15
634,14-month-old female child with spinal cord ganglioglioma. Sagittal T2-weighted MR image of the cervical and thoracic spine shows syringomyelia (arrows) rostral to the intramedullary tumor (star). Abnormal hyperintense T2 signal and expansion is noted in the upper cervical spinal cord and brainstem (arrowheads).,1,43
635,Stone in the left lower ureter,1,6
636,The computed tomography scan showed thickening of the tumor aspect in the left lumbar ureter (red arrow) of tuberculous origin.,2,20
637,Computed tomography angiogram of the lower limbs showing a pseudoaneurysm of the second perforating branch of the DFA with femoro-femoral arteriovenous fistula (arrow).,4,23
638,Computed tomographyof the chest showed a 6.0×4.2 cm mass at the right hilus and mediastinal lymphadenopathy.,27,16
639,Abdominal computed tomography showing para-aortic and pelvic lymph node enlargement.,88,10
640,CT image (case 2). Herniation (arrow) can be observed through the bone defect caused by DCIA flap harvesting. There are no anatomical barriers to avoid herniation,117,26
641,Post LAD stenting.,2,3
642,Tear at metal connector to pump within protective silicone covering.,94,10
643,In panoramic radiography was revealed unilocular radiolucency in periapical area of anterior mandibular teeth.,26,14
644,Hydrocephalus with interstitial edema and increased bone marrow signal in T2 weighted MRI,31,13
645,Non-contrast CT axial view showing hyperdense area of subarachnoid hemorrhage (SAH) along the interhemispheric fissure.,22,15
646,T2-weighted MRI image (coronal view) showing orientation of mass (star) to major vessels. Normal kidney (diamond). Aorta (short arrow). IVC (long arrow). Note that aortic bifurcation occurs at level of superior pole of ectopic left kidney.,1,36
647,"Curved multiplanar reformat of computed tomography coronary angiography demonstrating the anomalous left main coronary artery (green arrows) arising from the right coronary cusp then traversing between the aorta and the pulmonary trunk before bifurcating into the left anterior descending and circumflex arteries. LA (left atrium), LV (left ventricle).",26,48
648,Magnetic resonance imaging brain – FLAIR (fluid attenuated inversion recovery) coronal showing abscess in the right temporal lobe with surrounding edema and squashing of the right lateral ventricle,8,28
649,Splenic recess is the part of the inferior compartment of the lesser sac that extends to the hilum of the spleen between the gastrosplenic and splenorenal ligaments,2,27
650,Lateral chest-X-ray after 6 months of reduction. There is a callus-like formation around the dislocated and deducted part of the sternum.,31,21
651,"Abdominal computed tomography findings of gastric gastrointestinal stromal tumor. A 10×8 cm sized homogeneously enhanced, well circumscribed mass which developed from the posterior wall of the gastric antrum was observed.",12,30
652,Contrast-enhanced computed tomography image showing the contracted gall bladder (arrowhead) with the subcutaneous collection (asterix).,107,15
653,Axial T2 weighted MRI image: High signal intensity in left occipital lobe demonstrating acute ischaemic stroke,12,16
654,Oral and intravenous contrast enhanced computed tomography scan showing the mesenteric mass of the ileal small bowel segment (arrow).,127,19
655,X-ray showing transfemoral amputation level.,82,5
656,"28-year-old female with malignant peritoneal mesothelioma. Axial, contrast-enhanced CT section of the abdomen in the arterial phase shows a heterogenously enhancing lesion predominantly cystic components in the left adnexa (asterisk).",5,30
657,Preoperative CT scan: frontal image of the gastro-duodenal trichobezoar,259,9
658,Angiography showing a short high grade stenosis (arrow) and poststenotic dilatation of the left renal artery.,1,16
659,"EUS revealed enlarged bulky subcarinal lymph nodes (level 7). These lymph nodes are round, hypoechoic, and exhibited shape and distinct borders consistent with malignant involvement (UC 30 P Olympus echoendoscope scanning at 7 MHz)",62,34
660,Severly displaced proximal humeral epiphyseal separation.,6,6
661,"Pre-contrast T2-weighted image, coronal plane: the characteristic appearance of the implanted muscle with fascia.",57,14
662,Noncontrast CT: right inguinal hernia containing the bladder wall.,6,9
663,"The suspicious lesion on the screen (Fischer workstation, VABB device).",12,10
664,The repeated chest radiograph after 4 days of surgery showed the well recruitment of the left lung.,48,17
665,Gastroscopy showing the catheter inside the stomach in an intrathoracic position (black arrow).,21,13
666,Contrôle radiologique post opératoire après ostéosynthèse par clou gamma,1,9
667,Gross tumor volumes (GTVs) for 10 phases were delineated. The figure shows the overlapped GTVs of every phase on the same computed tomography images.,1,24
668,Axial noncontrast head CT demonstrates enlargement of the lateral ventricles due to meningitis (arrow).,9,14
669,Initial orthopantomography.,2,2
670,Cranial MRI 5 weeks after radiotherapy.,11,6
671,X-ray. Another actual projection. Transthoracic view. Glenohumeral fibrous union,32,9
672,"Contrast-enhanced computed tomographic scan, axial view. Enlargement of palatine tonsils and bilateral hypodense masses with thick rim enhancement. Slight obliteration of the parapharyngeal space.",5,24
673,"The T1 weighted sagittal magnetic resonance image of the lumbar spine demonstrates a slight step-off of the anterior cortical margin of the compressed L1 vertebral body, with decreased marrow signal intensity",7,31
674,Axial MDCT of an HIV-positive patient presenting with right lower quadrant pain. A discrete caecal mass with ulceration is seen. This proved to be a solitary lymphoma and became the AIDS-defining illness.,1,32
675,Post-operative result.,549,2
676,Magnet resonance imaging: axial T2-weighted images showing increased signal intensity in cerebellar hemispheres.,20,13
677,"Left carotid angiography, an extravasation of contrast medium from a branch of distal middle cerebral artery in noted (arrow).",9,19
678,Chest X-ray in P-A: opacity mass of about 4.5 cm skull-caudal extension in left lateral anterior mediastinum.,26,17
679,Lateral oblique view demonstrating the lesion,1,6
680,"CT scan revealed a well-defined capsulated mass with cystic aspect in contact with the right renal pelvis. In retroperitoneum there is an ill-defined mass in contact with the psoas and extending to paravertebral space, lumbar subcutaneous tissue and skin (fistulous tract) (arrows). The mass extends from the right diaphragm to the pelvis.",83,52
681,Bone metastasis in the sternoclavicular joint invading adjacent soft tissues.,2,10
682,Left adrenocortical carcinoma with renal vein and inferior vena cava tumour thrombus reaching the right atrium. Additional radiological features of malignancy are large size and heterogeneous enhancement.,1,27
683,3-year follow-up CT shows complete resolution of previous pancreatitis (arrows).,14,10
684,Arteriogram of the right lateral adrenal artery showing significant adenoma blush (red arrow). Note the presence of anomalous phrenic branch (blue arrows).,1,22
685,"Left side intraoral peri-apical radiograph showing carious maxillary left second molar (27), paramolar and distomolar",3,15
686,Upright chest X-ray showed a consolidation with cavitation in left upper lobe,19,12
687,Septic arthritis of left hip showing increased joint space.,6,9
688,An example of a paraspinal muscle density evaluation using a 6 mm circle in the center of the most preserved muscle mass positioned on the noncontrast axial lumbar spine CT (L5-S1 spinal level) of a 34-year-old male subject.,18,38
689,Maximal wrist distraction in frame.,12,5
690,"Axial T2-weighted magnetic resonance imaging of the bilateral internal auditory canals and cranial nerves (CNs) VII and VIII. Note the dolichoectatic left vertebral artery with compression of the root entry zone, the left CN VII, and CN VIII that can result in left facial hemispasm.",13,45
691,"Computerized Tomography scan of the abdomen, the tumor is shown to be occupying almost the whole the right lobe of the liver.",3,22
692,CT scan: double esophageal perforation by ingested meat–bone.,28,8
693,Chest CT shows a low attenuation endobronchial mass obstructing the anterior bronchus of the right lower lob (coronal view),498,19
694,Echographie vésicale montrant un processus intravésical,33,6
695,"On Axial MIP CT image; at the upper and lower branches of the right main pulmonary artery (black arrows) diffuse hypoplasia, left main pulmonary artery (open thick arrow), hypoplasia of the right intermediate and middle lobe bronchus (open long arrow) was detected.",20,42
696,"Computed tomografy scan on March 2009, after 3 cycles of trabectedin.",2,11
697,Final radiologic view of stents correctly in place.,12,8
698,Antero-posterior (AP) caudal view showing distal segment of jailed wire being entangled by two BMW wires.,11,16
699,Chest computed tomography scan on admission showing cancer of the left lung.,19,12
700,CT axial scan showed flexion-distraction injury and locked facet joint at T11/T12 segments. CT = computed tomography.,1,17
701,X-Ray of the apparatus.,58,4
702,Severe adenoid hypertrophy affecting patency of the nasopharyngeal airway as viewed on sagittal slice.,58,14
703,"Histological demonstration of bicuculline injection sites into LHb marked by ß-gal reaction products. CM, central medial thalamic nucleus; cpd, cerebral peduncle; f, fornix; LHb, lateral habenula; MD, mediodorsal thalamic nucleus; MHb, medial habenula; ml, medial lemniscus; mt mammillothalamic tract; LP, lateral posterior thalamic nucleus; opt, optic tract; Po, posterior thalamic nucleus; PVT, paraventricular thalamic nucleus; VPM, ventral posteromedial thalamic nucleus; 3V third ventricle.",8,63
704,Lymphoma. Axial black-blood T2-weighted image shows a focal mass in the septal leaflet of the tricuspid valve in a patient with B-cell lymphoma,8,23
705,An ultrasonographic examination of the thyroid gland showed dishomogeneous echoic pattern.,6,11
706,Increasing metabolic activity in left vertebral artery.,84,7
707,"Black Arrows Point to the Margins of the 42 × 28 mm Hypoechoic, Smoothly Marginated Mass on the Abdominal Ultrasonography",9,20
708,Axial CT scan section showing herniation of the bladder into the left inguinal region.,8,14
709,"Axial multislice computed tomography (Video 1) showed dilated, right-sided cardiac chambers and a large right coronary aneurysm in the right atrioventricular groove. RA = Right atrium, RV = right ventricle, LA = left atrium, LV = left ventricle, RCA = right coronary artery",1,43
710,"Bile is extravasating from the biliary tree, around the inferior vena cava and right kidney.",84,15
711,An oval-shaped ossified bone was observed on the left side of the end of the sacrum.,118,16
712,Follow-up radiograph showing a radio-opaque streak in left ramus area,58,10
713,Mid treatment orthopantomogram.,17,3
714,This figure shows the preoperative simple chest radiography.,7,8
715,Left Ventriculogram After Releasing of ADO in the Perimembranous VSD Shows Well Positioned ADO in Aneurysm of VSD,1,18
716,Short axis view on transesophageal echocardiography with valve thickening and an attached echogenic mass (vegetation).,7,15
717,The CT image depicts a soft density lesion adjacent to the root of the SMA and pancreatic head. T = Tumor; A =aorta; VC = vena cava.,27,27
718,Gallbladder carcinoma in a 70-year-old woman. CT image illustrates an omental cake anterior to the liver with infiltration and nodularity of the omental fat (arrows). The tumour also infiltrates the fat of the lesser sac (arrowheads),5,36
719,"Coronal contrast-enhanced T1-weighted brain MRI. An enhanced mass was evident in the mandibular branch of the trigeminal nerve coursing through the left foramen ovale (arrowheads), with atrophy of the left masseter and pterygoid muscles (arrows).",1,35
720,"A mediastinal hydatid disease in a 20-year-old man. The axial contrast-enhanced CT scan shows a well-defined, low-attenuation lesion (arrow) that is consistent with type I unilocular hydatid cyst. Compression of the superior vena cava by the hydatid cyst is also seen.",79,41
721,Preoperative dental X-ray. Typical ameloblastoma features are reported on the right side of the mandible,7,15
722,"Noncontrast CT of kidneys and urinary bladder, performed on day 7 of admission when the three-way urethral catheter was not draining and the patient had developed distension of lower abdomen. The sagittal section showed distended urinary bladder (arrow heads). The tip of the catheter was seen in the urethra (arrow). The misplaced Foley balloon was not seen as CT did not include urethra.",73,63
723,"On this noncontrast axial CT study, at the level of the interspace, a central ossified intradural mass is seen which is separated from the posterior margin of the vertebral body by the interposed hypodense dura. This is the classical image of the “double-layer sign” for OPLL that is highly associated with cerebrospinal fluid fistulas during anterior cervical surgery. This patient developed an intraoperative CSF fistula which was effectively treated with a sewn-in [7-0 Gortex Sutures] dural graft, fibrin sealant, and microfibrillar collagen",6,82
724,Measurement of the nuchal translucency (NT) thickness on transvaginal ultrasound scan in 12.0 weeks sized fetus.,12,16
725,Radiograph of the affected shoulder at 4 weeks,1,8
726,"A panoramic radiograph showing a small mandible, hypodontia, and malpositioned dentition",2,11
727,"Solid-cystic ovarian mass with irregular margins and the size of 43×28 mm. Color Doppler examination shows increased blood flow. According to IOTA, the ultrasound image presents a malignant adnexal tumor",10,30
728,Panoramic radiographic image taken 2 months after exfoliation. No recurrence of bone formation was observed.,14,15
729,Three-dimensional reconstruction with pseudoaneurysm (arrow) of the common carotid after a stab wound to the neck.,46,16
730,The procedure of retrieval balloon–assisted enterography for patients who had undergone total gastrectomy with Roux-en-Y reconstruction.,6,16
731,"CTA examination, axial scan shows asymmetrical dilatation of left occipital artery and contrast enhancement of left sigmoid sinus.",19,18
732,"Ultrasonography scans showing a large unicystic mass that has a well-defined wall with anechoic lesion. On an abdominal ultrasonography, a large cystic lesion was found with a thin wall superior to the bladder, composed of homogenous fluid material inferior to the umbilicus.",36,42
733,Standard size circular region of interest (ROI) loaded over T1-weighted MR image in MaZda after image normalization. The tumour is grade 3 invasive ductal carcinoma in left breast,5,28
734,Coronal view of popliteal PS of distal anastomosis site of femoral–popliteal bypass.,10,12
735,Subgaleal abscess with depressed fracture of parietal bone,68,8
736,Preoperative colon study revealed severely dilated sigmoid colon (arrowheads) and rectal stenosis (arrow).,1,13
737,This coronal T2 weighted magnetic resonance image of the patient demonstrates a normal homogenous right undescended testicle (small arrow) and a heterogeneous inflamed left undescended testicle (large arrow).,6,28
738,Accessory muscle (white arrow).,144,4
739,"Two-dimensional echocardiographic image of a dog with mitral prolapse. In this right parasternal long axis four-chamber view, the mitral leaflets, thickened and nodular in appearance, can be noticed bulging into the LA. RA: right atrium; RV: right ventricle; LV: left ventricle; LA: left atrium; and MV: mitral valve.",38,48
740,"Aortic root angiogram showing normally situated left and right coronary ostia, normal left main stem and small, atretic right coronary artery.",1,21
741,Follow-up X-ray showed multiple fractures of stent struts (type II stent fracture).,121,12
742,"Computed tomographic scan shows tumor destruction of body, pedicle, and lamina of T3 with spinal cord compression.",87,17
743,CT scan showing a thrombus extending from the internal jugular vein to the right atrium.,7,15
744,Brain MRI (sagittal): asymmetric T1 hyperintensity of the left putamen (black arrow).,40,12
745,Preoperative chest X-ray (case 1) showing ECMO catheter and pulmonary venous congestion. ECMO=Extracorporeal membrane oxygenation.,18,15
746,MRI axial T2WI-lesion appears hyperintense.,2,5
747,Twelve-month follow-up radiograph,6,3
748,Chest X-ray demonstrating bilateral pneumothoraces.,38,5
749,"Chest X-ray with severe widespread cortical bone loss, cysts, and brown tumors (arrows) in ribs, distal third of the clavicle, and humerus for severe cystic fibrous osteitis due to prolonged PHPT.",7,31
750,Axial black blood image of the superior mediastinum acquired at the time of CMR showing a linear high signal entity in the apical segment of the right upper lobe (solid white arrows) consistent with an incidental azygous lobe fissure,12,39
751,"Coronal CT showing pneumatized bilateral greater wing of sphenoid (star), with protrusion of maxillary nerve bilaterally (arrow). The left maxillary nerve is dehiscent. Note also the protuberant vidian nerves bilaterally (downward curved arrow)",2,33
752,MRCP showing dilation of pancreatic duct string-of-beads dilation of body and tail of pancreas.,34,14
753,Reconstruction images of the CT chest showing multiple osteoblastic lesions in thoraco-lumbar vertebrae.,2,13
